(562, 0),
(1676, 20.05),
(4035, 0),
(5297, -26.93),
(8125, 0),
(9947, 0),
(12833, -39.79),
(13980, -61.82),
(16290, -90),
(17892, -112.47),
(21264, -90),
(23090, -90),
(26811, -90),
(28216, -90),
(30663, -112.0),
(32902, -90),
(33939, -120.4),
(35398, -129.22),
(38472, -152.4),
(39912, -180),
(43487, -180),
(45283, -180),
(48985, -180),
(50421, -180),
(52991, -180),
(54166, -180),
(56426, -214.68),
(57841, -215.38),
(60304, -239.65),
(61790, -270),
(65431, -270),
(67197, -270),
(70948, -270),
(72796, -270),
(76139, -270),
(77695, -270),
(80120, -313.31),
(81279, -311.31),
(83812, -270),
(85616, -270),
(89156, -270),
(90422, -310.69),
(92688, -360),
(93816, -381.49),
(96653, -411.36),
(98039, -407.73),
(100642, -360),
(101852, -360),
(104619, -360),
(106052, -360),
(108711, -360),
(109857, -360),
(110980, -399.61),
(113910, -395.25),
(116613, -450),
(117991, -418.26),
(119370, -426.8),
(122324, -450),
(124120, -450),
(127898, -450),
(129766, -450),
(132345, -488.71),
(133476, -473.31),
(135849, -450),
(136952, -481.82),
(139861, -491.47),
(141070, -512.27),
(142561, -540),
(146200, -540),
(148016, -540),
(151602, -540),
(154465, -573.98),
(155683, -566.2),
(158175, -540),
(159411, -567.75),
(162194, -589.95),
(163473, -630),
(166903, -606.8),
(168642, -630),
(170504, -630),
(174275, -630),
(175889, -630),
(178921, -630),
(180160, -630),
(182382, -677.09),
(183526, -665.74),
(186245, -630),
(188106, -630),
(191367, -657.81),
(192556, -680.67),
(194781, -720),
(196018, -748.92),
(198999, -720),
(200724, -720),
(204525, -720),
(206352, -720),
(208948, -758.08),
(210143, -741.22),
(212814, -720),
(213986, -742.84),
(216231, -810),
(217784, -810),
(221434, -810),
(223190, -810),
(225032, -810),
(228832, -810),
(230641, -810),
(233533, -810),
(234757, -810),
(236972, -843.27),
(238277, -844.96),
(241201, -810),
(243100, -810),
(245867, -853.98),
(246967, -876.11),
(249185, -900),
(250683, -927.57),
(253792, -900),
(255568, -900),
(257464, -900),
(260330, -936.14),
(261538, -921.14),
(264247, -900),
(265456, -929.73),
(267875, -963.8),
(269527, -956.17),
(272838, -990),
(274642, -990),
(278391, -990),
(280183, -990),
(283640, -990),
(284929, -990),
(287242, -1014.29),
(288368, -990),
(290907, -1010.05),
(292500, -1015.42),
(295110, -1051.75),
(296348, -1080),
(299763, -1080),
(301596, -1080),
(305375, -1080),
(307299, -1080),
(308783, -1080),
(311196, -1080),
(312355, -1080),
(314638, -1112.37),
(316022, -1126.06),
(319356, -1141.41),
(321050, -1170),
(324732, -1170),
(326571, -1170),
(330374, -1170),
(332201, -1170),
(334783, -1201.35),
(335975, -1194.09),
(338267, -1170),
(339309, -1170),
(341972, -1210.6),
(343277, -1233.07),
(346595, -1233.42),
(348259, -1260),
(350087, -1260),
(353724, -1260),
(356833, -1260),
(358137, -1260),
(360418, -1280.97),
(361543, -1301.98),
(364248, -1290.74),
(365454, -1313.12),
(368790, -1322.26),
(370589, -1350),
(372422, -1350),
(376236, -1350),
(378067, -1350),
(381697, -1350),
(383088, -1372.58),
(385382, -1377.08),
(386508, -1350),
(389801, -1350),
(391736, -1350),
(395012, -1324.8),
(396440, -1308.4),
(398126, -1293.29),
(397493, -1293.09),
(395903, -1291.87),
(396489, -1285.87),
(397479, -1260),
(399704, -1228.15),
(400749, -1208.33),
(402961, -1170),
(404115, -1147.9),
(406548, -1106.4),
(408235, -1104.0),
(410124, -1102.8),
(413831, -1080),
(415191, -1080),
(417609, -1032.21),
(418952, -1033.19),
(421536, -1080),
(423137, -1055.88),
(425935, -1080),
(427344, -1080),
(429788, -1080),
(430905, -1115.67),
(433230, -1080),
(434526, -1080),
(437992, -1080),
(439792, -1080),
(441097, -1080),
(440025, -1080),
(438412, -1080),
(439024, -1080),
(441076, -1024.89),
(442165, -990),
(444299, -965.72),
(445405, -947.25),
(447642, -900),
(448730, -900),
(450936, -846.31),
(452200, -832.97),
(455886, -831.23),
(457746, -830.51),
(458918, -810),
(458124, -810),
(457021, -810),
(457646, -810),
(458682, -777.94),
(461102, -740.15),
(462222, -754.72),
(464529, -810),
(466232, -810),
(469806, -810),
(471656, -810),
(474827, -810),
(475968, -848.44),
(478215, -810),
(479619, -810),
(482281, -855.04),
(483668, -867.51),
(486860, -875.86),
(488602, -900),
(492116, -900),
(493950, -900),
(495449, -900),
(498007, -900),
(499256, -900),
(501499, -936.35),
(502846, -937.92),
(505529, -900),
(507333, -900),
(509943, -945.66),
(511063, -968.89),
(513353, -1012.43),
(514903, -1018.9),
(517997, -990),
(519769, -990),
(521619, -990),
(524964, -990),
(526292, -1021.77),
(528701, -990),
(530909, -990),
(532065, -1029.64),
(533586, -1031.28),
(536340, -1080),
(537980, -1051.31),
