(-1009, -1.07),
(-2988, -6.8),
(-5194, -7.75),
(-7418, 7.42),
(-9675, 17.82),
(-11972, 18.69),
(-14253, 29.98),
(-16571, 37.3),
(-18833, 49.71),
(-20987, 74.84),
(-23178, 88.68),
(-25401, 86.19),
(-27650, 78.63),
(-29894, 90.76),
(-32141, 92.47),
(-34396, 103.97),
(-36607, 122.96),
(-38842, 124.85),
(-41084, 121.18),
(-43335, 131.99),
(-45574, 150.81),
(-47797, 167.51),
(-50072, 177.73),
(-52408, 178.14),
(-54735, 176.78),
(-57005, 185.96),
(-59262, 198.94),
(-61510, 207.09),
(-63765, 215.02),
(-66056, 218.07),
(-68291, 232.43),
(-70498, 254.9),
(-72701, 263.14),
(-74960, 260.4),
(-77254, 264.99),
(-79503, 273.06),
(-81780, 277.46),
(-84030, 290.77),
(-86280, 302.04),
(-88546, 301.02),
(-90850, 303.49),
(-93153, 313.23),
(-95331, 338.57),
(-97451, 361.93),
(-99687, 362.38),
(-101935, 352.7),
(-104207, 357.54),
(-106457, 369.58),
(-108748, 378.16),
(-111029, 388.93),
(-113320, 395.36),
(-115570, 405.84),
(-117819, 419.75),
(-120040, 434.29),
(-122277, 439.69),
(-124549, 440.22),
(-126837, 445.77),
(-129108, 451.59),
(-131419, 459.42),
(-133640, 479.93),
(-135874, 478.93),
(-138072, 479.88),
(-140271, 490.29),
(-142487, 507.79),
(-144738, 521.24),
(-147002, 533.71),
(-149321, 538.58),
(-151628, 534.1),
(-153928, 538.82),
(-156152, 557.32),
(-158348, 568.23),
(-160590, 563.76),
(-162885, 569.17),
(-165162, 580.94),
(-167356, 605.49),
(-169549, 623.48),
(-171837, 622.64),
(-174185, 623.15),
(-176517, 627.64),
(-178852, 631.46),
(-181126, 648.82),
(-183409, 657.17),
(-185734, 653.43),
(-188088, 657.33),
(-190363, 669.0),
(-192539, 694.25),
(-194642, 719.37),
(-196875, 723.14),
(-199116, 709.23),
(-201364, 707.51),
(-203530, 731.36),
(-205727, 726.62),
(-207917, 730.3),
(-210135, 746.07),
(-212410, 752.29),
(-214655, 765.52),
(-216822, 789.76),
(-219032, 800.58),
(-221299, 800.16),
(-223627, 799.5),
(-225957, 803.02),
(-228275, 808.95),
(-230552, 823.95),
(-232828, 830.67),
(-235118, 837.9),
(-237386, 844.02),
(-239606, 858.99),
(-241822, 872.52),
(-244124, 878.88),
(-246431, 888.98),
(-248746, 895.69),
(-251036, 893.81),
(-253352, 900.51),
(-255620, 918.78),
(-257857, 926.19),
(-260138, 922.88),
(-262444, 929.82),
(-264684, 945.29),
(-266854, 973.65),
(-269030, 985.22),
(-271280, 979.52),
(-273597, 979.23),
(-275881, 986.59),
(-278185, 996.28),
(-280495, 1005.88),
(-282801, 1016.79),
(-285119, 1017.1),
(-287471, 1021.81),
(-289738, 1034.74),
(-291873, 1063.2),
