timestamp,L,a,b,label
1760443801.1102324,63.0,119.0,128.0,green
1760443801.1102736,54.0,120.0,128.0,green
1760443801.1102853,63.0,120.0,128.0,green
1760443801.110295,56.0,120.0,128.0,green
1760443801.1103046,51.0,121.0,128.0,green
1760443801.110314,61.0,120.0,126.0,green
1760443801.1103237,57.0,120.0,128.0,green
1760443801.1103325,65.0,120.0,128.0,green
1760443830.7649188,91.0,122.0,129.0,green
1760443830.7649887,103.0,124.0,125.0,green
1760443830.7650015,110.0,127.0,123.0,green
1760443830.7650158,97.0,126.0,126.0,green
1760443830.7650251,48.0,124.0,127.0,green
1760443830.7650344,47.0,124.0,127.0,green
1760443830.7650433,45.0,123.0,128.0,green
1760443830.7650518,50.0,123.0,127.0,green
1760443830.7650611,139.0,114.0,134.0,green
1760443830.765071,137.0,114.0,133.0,green
1760443830.7650807,132.0,114.0,133.0,green
1760443830.7650898,150.0,117.0,133.0,green
1760443830.7650986,143.0,114.0,133.0,green
1760443830.7651074,51.0,124.0,128.0,green
1760443830.7651167,109.0,126.0,125.0,green
